numberOfValidLeukemicCells;numberOfValidTCells;numberOfinteractions;pourcentageOfValidLeukemicCells;pourcentageOfValidTCells;pourcentageOfInteractions
124;136;65;40.78947368421053;44.73684210526316;21.38157894736842
125;137;66;41.118421052631575;45.06578947368421;21.710526315789476
126;138;66;41.44736842105263;45.39473684210527;21.710526315789476
127;139;66;41.776315789473685;45.723684210526315;21.710526315789476
128;140;66;42.10526315789473;46.05263157894737;21.710526315789476
129;141;67;42.43421052631579;46.381578947368425;22.039473684210524
130;142;69;42.76315789473684;46.71052631578947;22.697368421052634
131;143;70;43.09210526315789;47.03947368421053;23.026315789473685
132;144;70;43.42105263157895;47.368421052631575;23.026315789473685
133;145;70;43.75;47.69736842105263;23.026315789473685
134;146;71;44.07894736842105;48.026315789473685;23.355263157894736
135;147;72;44.40789473684211;48.35526315789473;23.684210526315788
136;148;74;44.73684210526316;48.68421052631579;24.342105263157894
137;149;75;45.06578947368421;49.01315789473684;24.671052631578945
138;150;75;45.39473684210527;49.34210526315789;24.671052631578945
139;151;75;45.723684210526315;49.67105263157895;24.671052631578945
140;152;76;46.05263157894737;50.0;25.0
141;153;77;46.381578947368425;50.32894736842105;25.32894736842105
142;154;77;46.71052631578947;50.6578947368421;25.32894736842105
143;155;78;47.03947368421053;50.98684210526315;25.657894736842106
144;156;79;47.368421052631575;51.31578947368421;25.986842105263158
145;157;80;47.69736842105263;51.64473684210527;26.31578947368421
146;158;81;48.026315789473685;51.973684210526315;26.644736842105267
147;159;83;48.35526315789473;52.30263157894737;27.302631578947366
148;160;85;48.68421052631579;52.63157894736842;27.960526315789476
149;161;87;49.01315789473684;52.960526315789465;28.618421052631575
150;162;88;49.34210526315789;53.289473684210535;28.947368421052634
151;163;89;49.67105263157895;53.61842105263158;29.276315789473685
152;164;89;50.0;53.94736842105263;29.276315789473685
153;165;90;50.32894736842105;54.276315789473685;29.605263157894733
154;166;90;50.6578947368421;54.60526315789473;29.605263157894733
155;167;91;50.98684210526315;54.93421052631579;29.93421052631579
156;168;93;51.31578947368421;55.26315789473685;30.592105263157894
157;169;94;51.64473684210527;55.5921052631579;30.92105263157895
158;170;96;51.973684210526315;55.92105263157895;31.57894736842105
159;171;98;52.30263157894737;56.25;32.23684210526316
160;172;99;52.63157894736842;56.57894736842105;32.56578947368421
161;173;100;52.960526315789465;56.9078947368421;32.89473684210527
162;174;101;53.289473684210535;57.23684210526315;33.223684210526315
164;175;102;53.94736842105263;57.56578947368421;33.55263157894737
165;176;103;54.276315789473685;57.89473684210527;33.881578947368425
166;177;104;54.60526315789473;58.223684210526315;34.21052631578947
167;178;106;54.93421052631579;58.55263157894737;34.868421052631575
168;180;106;55.26315789473685;59.210526315789465;34.868421052631575
168;181;106;55.26315789473685;59.539473684210535;34.868421052631575
169;182;107;55.5921052631579;59.86842105263158;35.19736842105263
170;183;108;55.92105263157895;60.19736842105263;35.526315789473685
171;183;109;56.25;60.19736842105263;35.85526315789473
172;184;109;56.57894736842105;60.526315789473685;35.85526315789473
173;185;110;56.9078947368421;60.85526315789473;36.18421052631579
174;186;111;57.23684210526315;61.18421052631579;36.51315789473684
175;187;112;57.56578947368421;61.51315789473685;36.84210526315789
176;188;113;57.89473684210527;61.8421052631579;37.17105263157895
177;189;113;58.223684210526315;62.17105263157895;37.17105263157895
177;190;114;58.223684210526315;62.5;37.5
178;191;115;58.55263157894737;62.82894736842105;37.82894736842105
178;192;115;58.55263157894737;63.1578947368421;37.82894736842105
179;193;116;58.88157894736842;63.48684210526315;38.15789473684211
180;194;117;59.210526315789465;63.81578947368421;38.48684210526316
181;195;119;59.539473684210535;64.14473684210526;39.14473684210527
182;196;121;59.86842105263158;64.47368421052632;39.80263157894737
183;197;122;60.19736842105263;64.80263157894737;40.131578947368425
184;198;123;60.526315789473685;65.13157894736842;40.46052631578947
185;199;123;60.85526315789473;65.46052631578947;40.46052631578947
186;200;125;61.18421052631579;65.78947368421053;41.118421052631575
186;201;126;61.18421052631579;66.11842105263158;41.44736842105263
187;202;128;61.51315789473685;66.44736842105263;42.10526315789473
188;203;129;61.8421052631579;66.77631578947368;42.43421052631579
189;204;131;62.17105263157895;67.10526315789474;43.09210526315789
191;205;132;62.82894736842105;67.43421052631578;43.42105263157895
192;206;133;63.1578947368421;67.76315789473685;43.75
193;207;134;63.48684210526315;68.0921052631579;44.07894736842105
194;208;134;63.81578947368421;68.42105263157895;44.07894736842105
195;209;135;64.14473684210526;68.75;44.40789473684211
196;210;137;64.47368421052632;69.07894736842105;45.06578947368421
197;211;139;64.80263157894737;69.4078947368421;45.723684210526315
198;212;141;65.13157894736842;69.73684210526315;46.381578947368425
199;214;142;65.46052631578947;70.39473684210526;46.71052631578947
200;215;143;65.78947368421053;70.72368421052632;47.03947368421053
201;216;143;66.11842105263158;71.05263157894737;47.03947368421053
202;217;145;66.44736842105263;71.38157894736842;47.69736842105263
203;218;146;66.77631578947368;71.71052631578947;48.026315789473685
204;219;148;67.10526315789474;72.03947368421053;48.68421052631579
205;220;148;67.43421052631578;72.36842105263158;48.68421052631579
206;221;149;67.76315789473685;72.69736842105263;49.01315789473684
207;222;151;68.0921052631579;73.02631578947368;49.67105263157895
208;223;153;68.42105263157895;73.35526315789474;50.32894736842105
209;224;154;68.75;73.68421052631578;50.6578947368421
210;225;155;69.07894736842105;74.01315789473685;50.98684210526315
211;226;157;69.4078947368421;74.3421052631579;51.64473684210527
212;227;158;69.73684210526315;74.67105263157895;51.973684210526315
213;228;160;70.06578947368422;75.0;52.63157894736842
214;229;162;70.39473684210526;75.32894736842105;53.289473684210535
215;230;164;70.72368421052632;75.6578947368421;53.94736842105263
216;231;166;71.05263157894737;75.98684210526315;54.60526315789473
217;232;168;71.38157894736842;76.31578947368422;55.26315789473685
218;233;170;71.71052631578947;76.64473684210526;55.92105263157895
219;234;170;72.03947368421053;76.97368421052632;55.92105263157895
220;235;172;72.36842105263158;77.30263157894737;56.57894736842105
221;236;173;72.69736842105263;77.63157894736842;56.9078947368421
222;237;174;73.02631578947368;77.96052631578947;57.23684210526315
223;238;176;73.35526315789474;78.28947368421053;57.89473684210527
224;239;177;73.68421052631578;78.61842105263158;58.223684210526315
225;240;178;74.01315789473685;78.94736842105263;58.55263157894737
226;241;180;74.3421052631579;79.27631578947368;59.210526315789465
227;242;181;74.67105263157895;79.60526315789474;59.539473684210535
